Date,Mkt-RF,SMB,HML,RF,XLV,XLF,SOXX,IYT,USO,ITA,VGT,XLU,ITB,GLD,AGG,DBA,UUP,KIE,SPY
2007-03-02,-0.0124,-0.0063,0.0023,0.00019,-0.008939303917805286,-0.011417452007026485,-0.020019524246890685,-0.012161601003340627,-0.004488746085077765,-0.014422264902695268,-0.014060084129066121,-0.015523991335850697,-0.02306513365762497,-0.032057134915445484,0.002090791311909479,-0.00938438459939095,-0.000400489753977995,-0.002122815161426872,-0.013095127818833594
2007-03-05,-0.0111,-0.0069,-0.0028000000000000004,0.00019,-0.005111189943604154,-0.015774626797261826,-0.01079551106236887,-0.015679425064413444,-0.027249547841323274,-0.009511554060409377,-0.007032561150850714,-0.012614968511452941,-0.046694617764221125,-0.012242957000559327,-0.0005961767220922233,-0.0018946282007175075,0.006410326948300238,-0.009749997007616472,-0.009518944853676992
2007-03-06,0.0158,0.0067,0.0,0.00019,0.010577167497949349,0.02089295737792352,0.02384147307259954,0.011445442132190342,0.014107230512043543,0.017728514449143033,0.017115854820867638,0.01490554638913566,0.02063841488307183,0.019386639357807045,-0.0006958912155546892,-0.005315086895877785,-0.0007961965404250647,0.007697821084765133,0.017109506663985696
2007-03-07,-0.0021,-0.0006,-0.0001,0.00019,0.0002991069569746596,-0.005887308722531071,-0.004099704852028485,0.004666373310576954,0.01927665394646061,-0.00018149403229350547,-0.004255342697418896,-0.0020981334595762124,0.002965775408439564,0.0023382934109268394,0.0007958797624989522,0.009160296340817277,-0.0039840788824669895,-0.00248714318664367,-0.0010021431117160915
2007-03-08,0.0068000000000000005,-0.001,0.0011,0.00019,0.0032885084556839588,0.009024231055911658,0.010044469207139084,0.0071991999235287985,0.0,0.006896571300155418,0.003885018739663515,0.005256261943486607,0.013171985315056478,0.002799382529280692,-0.000894595817650834,-0.0007564469500637161,0.004800033569335893,0.005520882460722243,0.00845520174271197
2007-03-09,0.0009,0.0028000000000000004,0.0014000000000000002,0.00019,0.002085807269362361,0.002515412908454362,0.006194996204270442,0.001614011910264557,-0.023006439542069712,0.0057678388151500845,0.002515500529171044,-0.0013071695963541294,-0.007428994149616508,-0.0035670493945292314,-0.0027857802541618733,-0.0041635355803902865,0.0015923171513687606,0.0023025002280305795,0.00028416430703326334
2007-03-12,0.0028000000000000004,0.0027,-0.0012,0.00019,0.0,0.0,0.007939044946181362,0.004834321036115474,-0.015166675852593568,0.012903247859274549,0.006562442454656425,0.00994767174151212,-0.0323442686289227,0.001867747028514,0.0030928618997427826,-0.006841516869233954,-0.003179647225406645,-0.0005301411481848373,0.0014917368638169837
2007-03-13,-0.0203,-0.0026,-0.0012,0.00019,-0.016354422229917898,-0.02982997780611629,-0.020414731979648267,-0.02714779683543567,-0.008308001217611216,-0.0219391661079944,-0.017833178867967536,-0.013478497487916186,-0.038121575663833666,-0.010097894953304487,0.002586056632811529,-0.0091848365413848,-0.0023923232107218033,-0.02422197977940577,-0.019434040615715187
2007-03-14,0.005699999999999999,0.0011,-0.0009,0.00019,0.003929783743117365,0.002298895709627713,0.00607159098982768,-0.002237165203385349,0.004086652401953828,0.0034370919971402625,0.010347496420649138,0.004992081446489882,0.03130385301955973,0.003452564372117051,-0.0011905034022708927,0.0034762516303448177,-0.002398136378626514,0.002536611138943101,0.007450262418060571
2007-03-15,0.0044,0.0049,0.0013,0.00019,0.0024089681800711915,0.012041234187629923,-0.0004893588863498222,0.010266730806161695,-0.0095645345246409,0.010456066406952845,0.0007729645512530857,0.012810501397824805,0.014480658868650575,0.0006256008193068485,-0.0010925765794411737,-0.014626603828411409,0.0,0.00722934453046653,0.0013641760703009265
